mean,label
108.052,1
129.5,0
104.157,1
105.383,1
124.965,0
118.404,1
123.69,0
119.791,1
115.186,1
116.874,1
113.138,1
116.271,1
114.874,1
109.486,1
112.355,1
121.493,1
124.955,0
115.09,1
127.354,0
123.191,0
120.844,1
113.855,1
126.032,0
116.143,1
92.184,1
123.688,0
131.87,0
118.312,1
119.563,1
117.51,1
124.085,0
125.43,0
114.741,1
110.947,1
103.269,1
119.336,1
102.787,1
107.122,1
95.892,1
129.66,0
127.593,0
129.245,0
124.34,0
116.985,1
125.976,0
119.585,1
109.527,1
123.865,0
112.429,1
117.718,1
129.477,0
127.488,0
107.634,1
128.933,0
123.808,0
124.822,0
125.05,0
121.417,1
117.619,1
119.404,1
125.392,0
119.205,1
114.899,1
124.893,0
124.566,0
122.606,0
124.651,0
93.774,1
111.383,1
124.833,0
125.121,0
133.811,0
108.366,1
128.253,0
105.618,1
116.14,1
111.745,1
124.321,0
119.457,1
116.313,1
118.059,1
115.518,1
119.672,1
119.258,1
108.135,1
111.658,1
128.352,0
110.949,1
125.913,0
122.888,0
113.875,1
122.158,0
104.06,1
121.622,1
119.304,1
123.211,0
121.376,1
125.637,0
112.162,1
127.099,0
124.174,0
125.955,0
110.503,1
123.799,0
119.25,1
132.697,0
125.332,0
119.319,1
120.211,1
132.208,0
116.071,1
110.98,1
119.868,1
118.328,1
126.429,0
125.361,0
116.978,1
111.572,1
115.274,1
109.635,1
125.993,0
123.203,0
111.576,1
114.67,1
107.075,1
118.176,1
114.066,1
126.282,0
90.397,1
114.89,1
117.27,1
118.203,1
115.053,1
114.412,1
113.328,1
127.391,0
119.87,1
114.111,1
114.154,1
126.423,0
128.983,0
119.533,1
128.024,0
120.611,1
